순위,가수,제목
1위,BIGBANG (빅뱅),봄여름가을겨울 (Still Life)
2위,(여자)아이들,TOMBOY
3위,Red Velvet (레드벨벳),Feel My Rhythm
4위,박재범,GANADARA (Feat. 아이유)
5위,IVE (아이브),LOVE DIVE
6위,멜로망스,사랑인가 봐
7위,임영웅,사랑은 늘 도망가
8위,태연 (TAEYEON),INVU
9위,김민석 (멜로망스),취중고백
10위,MSG워너비(M.O.M),듣고 싶을까
11위,IVE (아이브),ELEVEN
12위,STAYC(스테이씨),RUN2U
13위,"경서예지, 전건호",다정히 내 이름을 부르면
14위,케이시 (Kassy),언제나 사랑해
15위,YENA (최예나),SMILEY (Feat. BIBI)
16위,NCT DREAM,버퍼링 (Glitch Mode)
17위,임영웅,이제 나만 믿어요
18위,이무진,신호등
19위,원슈타인,존재만으로
20위,sokodomo,"회전목마 (Feat. Zion.T, 원슈타인) (Prod. Slom)"
21위,임영웅,다시 사랑한다면 (김필 Ver.)
22위,"The Kid LAROI, Justin Bieber",STAY
23위,아이유,드라마
24위,(여자)아이들,MY BAG
25위,한동근,사랑인걸
26위,버스커 버스커,벚꽃 엔딩
27위,임영웅,그대라는 사치
28위,임영웅,별빛 같은 나의 사랑아
29위,GOT the beat,Step Back
30위,임영웅,잊었니
31위,아이유,strawberry moon
32위,임영웅,HERO
33위,폴킴,어제처럼
34위,임영웅,끝사랑
35위,"HIGH4 (하이포), 아이유",봄 사랑 벚꽃 말고
36위,BE'O (비오),리무진 (Feat. MINO) (Prod. GRAY)
37위,오마이걸 (OH MY GIRL),Real Love
38위,aespa,Next Level
39위,태연 (TAEYEON),Weekend
40위,GAYLE,"19금
abcdefu"
41위,휘인 (Whee In),"너, 너 (N번째 연애 X 휘인 (Whee In))"
42위,주호,내가 아니라도
43위,임영웅,Bk Love
44위,탑현,호랑수월가
45위,주시크 (Joosiq),너를 생각해
46위,아이유,라일락
47위,방탄소년단,Dynamite
48위,자우림,"스물다섯, 스물하나"
49위,이무진,눈이 오잖아(Feat.헤이즈)
50위,방탄소년단,Butter
51위,태일 (TAEIL),Starlight
52위,이예준,내 생에 아름다운
53위,BE'O (비오),Counting Stars (Feat. Beenzino)
54위,임영웅,계단말고 엘리베이터
55위,MSG워너비(M.O.M),바라만 본다
56위,aespa,Dreams Come True
57위,방탄소년단,봄날
58위,방탄소년단,Permission to Dance
59위,NCT DREAM,북극성 (Never Goodbye)
60위,"디핵 (D-Hack), PATEKO (파테코)",OHAYO MY NIGHT
61위,아이유,Blueming
62위,aespa,Savage
63위,주시크 (Joosiq),아무래도 난
64위,하이라이트 (Highlight),DAYDREAM
65위,아이유,Celebrity
66위,아이유,내 손을 잡아
67위,벤,벚꽃이 피면 우리 그만 헤어져
68위,"로꼬, 유주 (YUJU)",우연히 봄
69위,베이식 (Basick),만남은 쉽고 이별은 어려워 (Feat. Leellamarz) (Prod. TOIL)
70위,마크툽 (MAKTUB),찰나가 영원이 될 때 (The Eternal Moment)
71위,"김태리, 남주혁, 보나(우주소녀), 최현욱, 이주명",With
72위,호미들,"사이렌 Remix (Feat. UNEDUCATED KID, Paul Blanco)"
73위,"Coldplay, 방탄소년단",My Universe
74위,Ed Sheeran,Bad Habits
75위,비비 (BIBI),"아주, 천천히"
76위,경서,밤하늘의 별을(2020)
77위,NCT DREAM,Arcade
78위,멜로망스,고백
79위,오마이걸 (OH MY GIRL),Dun Dun Dance
80위,10CM,서랍
81위,폴킴,"모든 날, 모든 순간 (Every day, Every Moment)"
82위,헤이즈 (Heize),헤픈 우연
83위,아이유,겨울잠
84위,성시경,너의 모든 순간
85위,Justin Bieber,Off My Face
86위,NCT DREAM,너를 위한 단어 (It’s Yours)
87위,BE'O (비오),문득
88위,이승윤,언덕나무
89위,NCT DREAM,미니카 (Drive)
90위,장범준,흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야
91위,태연 (TAEYEON),Can't Control Myself
92위,AKMU (악뮤),낙하 (with 아이유)
93위,Kelly Clarkson,Stronger (What Doesn't Kill You)
94위,브레이브걸스,롤린 (Rollin')
95위,박봄 (Park Bom),꽃 (With 김민석 of 멜로망스)
96위,NCT DREAM,Rewind
97위,V,Christmas Tree
98위,AKMU (악뮤),"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지"
99위,NCT DREAM,잘 자 (Teddy Bear)
100위,NCT DREAM,Better Than Gold (지금)
